title,authors,subjects,category,rating,ratings_count,price,year,source,rating_numeric,ratings_count_numeric,content
India,John Keay,"India | History | India, history | Ds451 .k365 2000b | 954",history,4.0,1,Not Available,2000,Open Library API,4.0,1.0,"India John Keay India | History | India, history | Ds451 .k365 2000b | 954 history"
"History, its theory and method",B. Sheikh Ali,Historiography | Philosophy | History,history,3.5,8,Not Available,1978,Open Library API,3.5,8.0,"History, its theory and method B. Sheikh Ali Historiography | Philosophy | History history"
Julius Caesar,"Jacob Abbott, Markham","Juvenile literature | Biography | History | Generals | Heads of state | Biographies | Hommes d'État | Généraux | Histoire | Caesar, julius",history,4.0,2,Not Available,1849,Open Library API,4.0,2.0,"Julius Caesar Jacob Abbott, Markham Juvenile literature | Biography | History | Generals | Heads of state | Biographies | Hommes d'État | Généraux | Histoire | Caesar, julius history"
Not a Passing Phase,Lesbian History Group,Letterkunde | Lesbiennes | Vrouwelijke auteurs | Lesbianism | History | LGBTQ history | LGBTQ essays | Stonewall Book Awards | Lesbians | Gay and lesbian studies,history,,,Not Available,1989,Open Library API,,,Not a Passing Phase Lesbian History Group Letterkunde | Lesbiennes | Vrouwelijke auteurs | Lesbianism | History | LGBTQ history | LGBTQ essays | Stonewall Book Awards | Lesbians | Gay and lesbian studies history
A history of fashion,J. Anderson Black,"Fashion | Clothing and dress | Costume | History | Fashion, history",history,5.0,1,Not Available,1975,Open Library API,5.0,1.0,"A history of fashion J. Anderson Black Fashion | Clothing and dress | Costume | History | Fashion, history history"
Janson's history of art,"H. W. Janson, Penelope J. E. Davies, Walter B. Denny, Frima Fox Hofrichter, Joseph F. Jacobs, Ann M. Roberts, David L. Simon","Art | History | Art, history | Histoire | General | Composition & creative writing | Humanities -> art -> intro to art history | English & college success -> english -> composition | Art--history | N5300 .j3 2011",history,4.75,4,Not Available,2006,Open Library API,4.75,4.0,"Janson's history of art H. W. Janson, Penelope J. E. Davies, Walter B. Denny, Frima Fox Hofrichter, Joseph F. Jacobs, Ann M. Roberts, David L. Simon Art | History | Art, history | Histoire | General | Composition & creative writing | Humanities -> art -> intro to art history | English & college success -> english -> composition | Art--history | N5300 .j3 2011 history"
History Of Beauty,Umberto Eco,Aesthetics | Art | Philosophy | Literature | History | Esthétique | Histoire | Art and philosophy | Philosophie | Nude in art,history,3.4,5,Not Available,2004,Open Library API,3.4,5.0,History Of Beauty Umberto Eco Aesthetics | Art | Philosophy | Literature | History | Esthétique | Histoire | Art and philosophy | Philosophie | Nude in art history
Hidden from History,"Martin B. Duberman, Martha Vicinus, George Chauncey, JR. GEORGE BAUML DUBERMAN MARTIN & MARTHA VICINUS & CHAUNCEY, Martin, et al, editors Bauml",History | Gays | Homosexuality | Lesbianism | Gay liberation movement | LGBT History | world history | Lesbians | Gay men | LGBTQ history,history,4.6666665,3,Not Available,1989,Open Library API,4.6666665,3.0,"Hidden from History Martin B. Duberman, Martha Vicinus, George Chauncey, JR. GEORGE BAUML DUBERMAN MARTIN & MARTHA VICINUS & CHAUNCEY, Martin, et al, editors Bauml History | Gays | Homosexuality | Lesbianism | Gay liberation movement | LGBT History | world history | Lesbians | Gay men | LGBTQ history history"
A History of Political Theory,George Holland Sabine,"Political science | History | Science politique | Histoire | Geschichte | Politische Philosophie | Politische Theorie | Ciencias políticas | Historia | Political science, history",history,5.0,2,Not Available,1937,Open Library API,5.0,2.0,"A History of Political Theory George Holland Sabine Political science | History | Science politique | Histoire | Geschichte | Politische Philosophie | Politische Theorie | Ciencias políticas | Historia | Political science, history history"
A History of π (PI),Petr Beckmann,Pi | Pi (Zahl) | Geschichte,history,4.0,2,Not Available,1970,Open Library API,4.0,2.0,A History of π (PI) Petr Beckmann Pi | Pi (Zahl) | Geschichte history
A history of architecture,Spiro Kostof,"Architecture | History | Bouwkunst | Geschichte | História da arquitetura | Architektur | Histoire | Architecture - Histoire | Architecture, history | Human factors",history,4.5,2,Not Available,1985,Open Library API,4.5,2.0,"A history of architecture Spiro Kostof Architecture | History | Bouwkunst | Geschichte | História da arquitetura | Architektur | Histoire | Architecture - Histoire | Architecture, history | Human factors history"
Vietnam,Stanley Karnow,"History | Vietnam War, 1961-1975 | Vietnamese Conflict, 1961-1975 | United States | Historia | Histoire | Guerre du Viêt-nam, 1961-1975 | Vietnam, history | Vietnam Conflict",history,,,Not Available,1983,Open Library API,,,"Vietnam Stanley Karnow History | Vietnam War, 1961-1975 | Vietnamese Conflict, 1961-1975 | United States | Historia | Histoire | Guerre du Viêt-nam, 1961-1975 | Vietnam, history | Vietnam Conflict history"
Heinemann Our World,,,history,3.0,6,Not Available,1993,Open Library API,3.0,6.0,Heinemann Our World   history
An Indigenous Peoples' History of the United States,Roxanne Dunbar Ortiz,Historiography | Native American Studies | Geschichtsschreibung | Government relations | Alternative Press Collection | Native Americans | Immigration and emigration | History | Politics and government | Race relations,history,3.6,5,Not Available,2014,Open Library API,3.6,5.0,An Indigenous Peoples' History of the United States Roxanne Dunbar Ortiz Historiography | Native American Studies | Geschichtsschreibung | Government relations | Alternative Press Collection | Native Americans | Immigration and emigration | History | Politics and government | Race relations history
A Short History of the World,H. G. Wells,World history | History | Civilization | Tong su du wu | Shi jie shi | Histoire universelle,history,3.75,4,Not Available,1922,Open Library API,3.75,4.0,A Short History of the World H. G. Wells World history | History | Civilization | Tong su du wu | Shi jie shi | Histoire universelle history
Medieval Europe,"C. Warren (Charles Warren) Hollister, C. Warren Hollister, Judith Bennett","Church history | Europe | History | Medieval Civilization | Middle Ages | Social conditions | Histoire | Europe, history, 476-1492 | Civilization, medieval | Middle ages, history",history,5.0,2,Not Available,1964,Open Library API,5.0,2.0,"Medieval Europe C. Warren (Charles Warren) Hollister, C. Warren Hollister, Judith Bennett Church history | Europe | History | Medieval Civilization | Middle Ages | Social conditions | Histoire | Europe, history, 476-1492 | Civilization, medieval | Middle ages, history history"
Science and technology in world history,"James E. McClellan III, domenico E. III bertoloni meli, Harold Dorn",History | Science | Technology | Tool and die makers | Natuurwetenschappen | Outilleurs | Histoire | Sciences | Techniek | Technologie,history,4.0,6,Not Available,1999,Open Library API,4.0,6.0,"Science and technology in world history James E. McClellan III, domenico E. III bertoloni meli, Harold Dorn History | Science | Technology | Tool and die makers | Natuurwetenschappen | Outilleurs | Histoire | Sciences | Techniek | Technologie history"
The End of History and the Last Man,Francis Fukuyama,Philosophy | World politics | History | Weltgeschichte | Geschiedfilosofie | Ende | Politieke ideologie | Imaginary histories | open_syllabus_project | History -- Philosophy,history,3.7142856,7,Not Available,1992,Open Library API,3.7142856,7.0,The End of History and the Last Man Francis Fukuyama Philosophy | World politics | History | Weltgeschichte | Geschiedfilosofie | Ende | Politieke ideologie | Imaginary histories | open_syllabus_project | History -- Philosophy history
Making History (Airport Ed),Stephen Fry,"Fiction, humorous, general | Fiction, alternative history | England, fiction | Fiction | History students | Time travel | English fiction | History | New York Times reviewed | Fiction, humorous",history,4.5,2,Not Available,1996,Open Library API,4.5,2.0,"Making History (Airport Ed) Stephen Fry Fiction, humorous, general | Fiction, alternative history | England, fiction | Fiction | History students | Time travel | English fiction | History | New York Times reviewed | Fiction, humorous history"
The Unfinished Nation,Alan Brinkley,"History | Textbooks | United States | Geschichte | Kultur | United States -- History | United states, history | Histoire | Historia",history,4.3333335,3,Not Available,1993,Open Library API,4.3333335,3.0,"The Unfinished Nation Alan Brinkley History | Textbooks | United States | Geschichte | Kultur | United States -- History | United states, history | Histoire | Historia history"
A little history of the world,E. H. Gombrich,"Juvenile literature | World history | Histoire universelle | Ouvrages pour la jeunesse | Class of 1972 | Memorial bookplates | Whitman College | World history, juvenile literature",history,4.090909,11,Not Available,2005,Open Library API,4.090909,11.0,"A little history of the world E. H. Gombrich Juvenile literature | World history | Histoire universelle | Ouvrages pour la jeunesse | Class of 1972 | Memorial bookplates | Whitman College | World history, juvenile literature history"
Sozialgeschichte der Kunst und Literatur,"Arnold Hauser, S. Godman, Harris, Jonathan, Jonathan Harris",Art and society | History | Literature | Art | History and criticism | Arts and society | Kunstsociologie | Historiography | Psychology | Philosophy,history,2.6666667,3,Not Available,1951,Open Library API,2.6666667,3.0,"Sozialgeschichte der Kunst und Literatur Arnold Hauser, S. Godman, Harris, Jonathan, Jonathan Harris Art and society | History | Literature | Art | History and criticism | Arts and society | Kunstsociologie | Historiography | Psychology | Philosophy history"
Witchcraft,"Michael Streeter, Richard Craze, Roni Jay","Witchcraft | History | Witchcraft & Wicca | New Age | Body, Mind & Spirit | Alternate Spirituality | Magick Studies | Body, Mind & Spirit / Witchcraft & Wicca",history,,,Not Available,2002,Open Library API,,,"Witchcraft Michael Streeter, Richard Craze, Roni Jay Witchcraft | History | Witchcraft & Wicca | New Age | Body, Mind & Spirit | Alternate Spirituality | Magick Studies | Body, Mind & Spirit / Witchcraft & Wicca history"
David Copperfield,Charles Dickens,"British and irish drama (dramatic works by one author) | Children's fiction | Orphans, fiction | England, fiction | Boys, fiction | Stepparents, fiction | Readers | British and irish fiction (fictional works by one author) | Fiction, coming of age | Fiction",history,4.4666667,15,Not Available,1800,Open Library API,4.4666667,15.0,"David Copperfield Charles Dickens British and irish drama (dramatic works by one author) | Children's fiction | Orphans, fiction | England, fiction | Boys, fiction | Stepparents, fiction | Readers | British and irish fiction (fictional works by one author) | Fiction, coming of age | Fiction history"
India after Gandhi,Ramachandra Guha,"Political History | Histoire | History | Politics and government | New York Times reviewed | Gandhi, mahatma, 1869-1948 | India, politics and government",history,4.3333335,15,Not Available,2007,Open Library API,4.3333335,15.0,"India after Gandhi Ramachandra Guha Political History | Histoire | History | Politics and government | New York Times reviewed | Gandhi, mahatma, 1869-1948 | India, politics and government history"
"Pakistan History, Culture, and Government",Nigel Smith,,history,4.1,10,Not Available,2007,Open Library API,4.1,10.0,"Pakistan History, Culture, and Government Nigel Smith  history"
Documentary sources of Philippine history,"Gregorio F. Zaide, Sonia M. Zaide",Sources | History,history,2.4,5,Not Available,1990,Open Library API,2.4,5.0,"Documentary sources of Philippine history Gregorio F. Zaide, Sonia M. Zaide Sources | History history"
The history of spiritualism,Arthur Conan Doyle,Spiritualism | History | Curiosities and wonders | Spirituality | Discovery and exploration | Norse | Kensington Rune Stone,history,3.0,1,Not Available,1926,Open Library API,3.0,1.0,The history of spiritualism Arthur Conan Doyle Spiritualism | History | Curiosities and wonders | Spirituality | Discovery and exploration | Norse | Kensington Rune Stone history
The History Boys,"Alan Bennett, Alan Bennett",LGBTQ plays | Theater programs | Specimens | High schools | Drama | Teacher-student relationships | Education | Boarding schools,history,2.5,4,Not Available,2004,Open Library API,2.5,4.0,"The History Boys Alan Bennett, Alan Bennett LGBTQ plays | Theater programs | Specimens | High schools | Drama | Teacher-student relationships | Education | Boarding schools history"
The Cold War,John Lewis Gaddis,"World Politics | Cold War | Nonfiction | 20th Century History | politics | World politics, 1945- | Koude Oorlog | Guerre froide | Politique mondiale | Foreign relations",history,4.25,4,Not Available,2005,Open Library API,4.25,4.0,"The Cold War John Lewis Gaddis World Politics | Cold War | Nonfiction | 20th Century History | politics | World politics, 1945- | Koude Oorlog | Guerre froide | Politique mondiale | Foreign relations history"
Orlando,Virginia Woolf,Nobility in fiction | Gender identity in fiction | Fiction | England in fiction | Transsexuals | Sex role in fiction | Characters and characteristics in literature | Textual Criticism | Literature | Mujeres,biography,4.3157897,19,Not Available,1928,Open Library API,4.3157897,19.0,Orlando Virginia Woolf Nobility in fiction | Gender identity in fiction | Fiction | England in fiction | Transsexuals | Sex role in fiction | Characters and characteristics in literature | Textual Criticism | Literature | Mujeres biography
Steve Jobs,Walter Isaacson,TECHNOLOGY & ENGINEERING / General | History | Inc Apple Computer | BIOGRAPHY & AUTOBIOGRAPHY / Business | Computer engineers | Businesspeople | Biography | BUSINESS & ECONOMICS / General | New York Times bestseller | nyt:hardcover_business_books=2012-02-25,biography,4.154321,162,Not Available,2011,Open Library API,4.154321,162.0,Steve Jobs Walter Isaacson TECHNOLOGY & ENGINEERING / General | History | Inc Apple Computer | BIOGRAPHY & AUTOBIOGRAPHY / Business | Computer engineers | Businesspeople | Biography | BUSINESS & ECONOMICS / General | New York Times bestseller | nyt:hardcover_business_books=2012-02-25 biography
Flush,"Virginia Woolf, Eileen Atkins, Katyuli Lloyd, Jose KING, Jordi Fernando, Rafael Vázquez Zamora",Fiction | Dogs | Legends and stories | Biography | Flush (Dog) | Women poets | Women dog owners | Human-animal relationships | English Poets | Legends,biography,3.2,5,Not Available,1694,Open Library API,3.2,5.0,"Flush Virginia Woolf, Eileen Atkins, Katyuli Lloyd, Jose KING, Jordi Fernando, Rafael Vázquez Zamora Fiction | Dogs | Legends and stories | Biography | Flush (Dog) | Women poets | Women dog owners | Human-animal relationships | English Poets | Legends biography"
The dictionary of national biography,,"Smith, George, -- 1824-1901. | Great Britain -- Bio-bibliography | Great Britain -- Biography -- Dictionaries | Great Britain -- Biography.",biography,4.318182,22,Not Available,1921,Open Library API,4.318182,22.0,"The dictionary of national biography  Smith, George, -- 1824-1901. | Great Britain -- Bio-bibliography | Great Britain -- Biography -- Dictionaries | Great Britain -- Biography. biography"
Zero,Charles Seife,"Mathematics | Number Theory | Zero | Mathematics, history | Zero (The number) | singularities | infinities | Aspect religieux | Histoire | Zéro (nombre)",biography,4.3333335,6,Not Available,2000,Open Library API,4.3333335,6.0,"Zero Charles Seife Mathematics | Number Theory | Zero | Mathematics, history | Zero (The number) | singularities | infinities | Aspect religieux | Histoire | Zéro (nombre) biography"
Madame Curie,Eve Curie,"Readers | Biographies | Women chemists | Radium | Women scientists | Women Nobel Prize winners | Chemists | Curie, Marie (Sk odowska) 1867-1934 | Curie, Marie (Sklodowska), 1867-1934 | French language",biography,3.8461537,13,Not Available,1937,Open Library API,3.8461537,13.0,"Madame Curie Eve Curie Readers | Biographies | Women chemists | Radium | Women scientists | Women Nobel Prize winners | Chemists | Curie, Marie (Sk odowska) 1867-1934 | Curie, Marie (Sklodowska), 1867-1934 | French language biography"
Franz Kafka,"Brod, Max","Austrian Authors | Biography | Kafka, franz, 1883-1924",biography,,,Not Available,1937,Open Library API,,,"Franz Kafka Brod, Max Austrian Authors | Biography | Kafka, franz, 1883-1924 biography"
Current Biography International Yearbook 2006 (Current Biography International Yearbook),,General | Yearbooks & Annuals | Reference | 20th century | Biography,biography,3.1666667,6,Not Available,2007,Open Library API,3.1666667,6.0,Current Biography International Yearbook 2006 (Current Biography International Yearbook)  General | Yearbooks & Annuals | Reference | 20th century | Biography biography
Virginia Woolf,Quentin Bell,"Biography | English Novelists | English Women authors | Woolf, Virginia, 1882-1941 | English Authors | English Women novelists | Biographies | Écrivains anglais | Écrivaines anglaises | Biographie",biography,4.0,2,Not Available,1972,Open Library API,4.0,2.0,"Virginia Woolf Quentin Bell Biography | English Novelists | English Women authors | Woolf, Virginia, 1882-1941 | English Authors | English Women novelists | Biographies | Écrivains anglais | Écrivaines anglaises | Biographie biography"
Das Mädchen Anne Frank,Melissa Müller,"Biography | Jewish children in the Holocaust | Holocaust, Jewish (1939-1945) | Jews | Biography: historical | Biography: political | European history: Second World War | Jewish studies | The Holocaust | Netherlands",biography,3.3333333,3,Not Available,1998,Open Library API,3.3333333,3.0,"Das Mädchen Anne Frank Melissa Müller Biography | Jewish children in the Holocaust | Holocaust, Jewish (1939-1945) | Jews | Biography: historical | Biography: political | European history: Second World War | Jewish studies | The Holocaust | Netherlands biography"
Churchill,Roy Jenkins,Politics and government | Prime ministers | Biography | Politique et gouvernement | Biographies | Premiers ministres | Statesmen | Biografie | Politiker | Biografi,biography,4.8,5,Not Available,2001,Open Library API,4.8,5.0,Churchill Roy Jenkins Politics and government | Prime ministers | Biography | Politique et gouvernement | Biographies | Premiers ministres | Statesmen | Biografie | Politiker | Biografi biography
COD; A BIOGRAPHY OF THE FISH THAT CHANGED THE WORLD,"Mark Kurlansky, S. D. Schindler",Codfish | History | Literary collections | Cookery (Codfish) | Cod fisheries | Cooking (Codfish) | Cooking & Food | Nonfiction | Biography & Autobiography | Kabeljaufischerei,biography,4.285714,7,Not Available,1997,Open Library API,4.285714,7.0,"COD; A BIOGRAPHY OF THE FISH THAT CHANGED THE WORLD Mark Kurlansky, S. D. Schindler Codfish | History | Literary collections | Cookery (Codfish) | Cod fisheries | Cooking (Codfish) | Cooking & Food | Nonfiction | Biography & Autobiography | Kabeljaufischerei biography"
Leonardo da Vinci,"Walter Isaacson, Jordi Ainaud i Escudero, Beruryah Ben Barukh","Artists | Gifted persons | Biography | Scientists | nyt:paperback-nonfiction=2018-10-21 | New York Times bestseller | Leonardo, da vinci, 1452-1519 | Artists, biography | Artists, italy | Scientists, biography",biography,3.9615386,26,Not Available,2017,Open Library API,3.9615386,26.0,"Leonardo da Vinci Walter Isaacson, Jordi Ainaud i Escudero, Beruryah Ben Barukh Artists | Gifted persons | Biography | Scientists | nyt:paperback-nonfiction=2018-10-21 | New York Times bestseller | Leonardo, da vinci, 1452-1519 | Artists, biography | Artists, italy | Scientists, biography biography"
Dictionary of National Biography,"George Murray Smith, Sir Sidney Lee, Sir Leslie Stephen","Biography | Bio-bibliography | Dictionaries | Great britain, biography | Indexes | Bibliography | Biography as Topic | Dictionary",biography,,,Not Available,1885,Open Library API,,,"Dictionary of National Biography George Murray Smith, Sir Sidney Lee, Sir Leslie Stephen Biography | Bio-bibliography | Dictionaries | Great britain, biography | Indexes | Bibliography | Biography as Topic | Dictionary biography"
Tolkien,"Humphrey Carpenter, Pierre Alien","Anglicists | Authorship | Biography | English Authors | Fantasy literature | Middle Earth (Imaginary place) | Fantasy (litteratur) | Tolkien, j, r. r. (john ronald ruel), 1892-1973 | Fantasy fiction, history and criticism | English Novelists",biography,4.0,3,Not Available,1977,Open Library API,4.0,3.0,"Tolkien Humphrey Carpenter, Pierre Alien Anglicists | Authorship | Biography | English Authors | Fantasy literature | Middle Earth (Imaginary place) | Fantasy (litteratur) | Tolkien, j, r. r. (john ronald ruel), 1892-1973 | Fantasy fiction, history and criticism | English Novelists biography"
Kerouac,"Ann Charters, Allen Ginsberg","Beat generation | American Authors | Kerouac, Jack, 1922-1969 | Biography | Romanciers americains | Biographies | Beats (Persons) | General | Kerouac, Jack | 20th Century American Novel And Short Story",biography,4.3333335,3,Not Available,1973,Open Library API,4.3333335,3.0,"Kerouac Ann Charters, Allen Ginsberg Beat generation | American Authors | Kerouac, Jack, 1922-1969 | Biography | Romanciers americains | Biographies | Beats (Persons) | General | Kerouac, Jack | 20th Century American Novel And Short Story biography"
Rant,Chuck Palahniuk,"Open Library Staff Picks | Fiction | Demolition derbies | Fiction, general | Fiction, psychological",biography,4.142857,14,Not Available,1998,Open Library API,4.142857,14.0,"Rant Chuck Palahniuk Open Library Staff Picks | Fiction | Demolition derbies | Fiction, general | Fiction, psychological biography"
The Beatles,Bob Spitz,"Beatles | Rock musicians | Musicians | Rock music | Biography | Musicians, biography | Rock musicians, biography | Rock musicians, great britain | Popmuziek | The Beatles",biography,4.0,4,Not Available,2005,Open Library API,4.0,4.0,"The Beatles Bob Spitz Beatles | Rock musicians | Musicians | Rock music | Biography | Musicians, biography | Rock musicians, biography | Rock musicians, great britain | Popmuziek | The Beatles biography"
Stalin,Robert Service,"Heads of state | Biography | History | Soviet union, history, 1925-1953 | Politics and government | Stalin, joseph, 1879-1953 | Soviet Union",biography,,,Not Available,2004,Open Library API,,,"Stalin Robert Service Heads of state | Biography | History | Soviet union, history, 1925-1953 | Politics and government | Stalin, joseph, 1879-1953 | Soviet Union biography"
Jerusalem,Simon Sebag-Montefiore,"History | New York Times bestseller | nyt:hardcover_political_books=2011-12-24 | Middle East | General | Jerusalem, history | nyt:religion-spirituality-and-faith=2014-09-07 | Asia, history | Religion | Civilization",biography,5.0,1,Not Available,2011,Open Library API,5.0,1.0,"Jerusalem Simon Sebag-Montefiore History | New York Times bestseller | nyt:hardcover_political_books=2011-12-24 | Middle East | General | Jerusalem, history | nyt:religion-spirituality-and-faith=2014-09-07 | Asia, history | Religion | Civilization biography"
Life of George Washington,Washington Irving,Politics and government | Campaigns | Generals | Presidents | United States | Sources | Biography | United States. Continental Army | History | Présidents,biography,4.0,2,Not Available,1850,Open Library API,4.0,2.0,Life of George Washington Washington Irving Politics and government | Campaigns | Generals | Presidents | United States | Sources | Biography | United States. Continental Army | History | Présidents biography
Zelda,Nancy Milford,Biography/ | American Authors | Authors' spouses | Marriage | Biography | Women | Mental illness | Biografie | Mental Disorders | Nineteen twenties,biography,3.0,1,Not Available,1970,Open Library API,3.0,1.0,Zelda Nancy Milford Biography/ | American Authors | Authors' spouses | Marriage | Biography | Women | Mental illness | Biografie | Mental Disorders | Nineteen twenties biography
Marilyn Monroe,Donald Spoto,"Biographie | Biography | Motion picture actors and actresses | Monroe, marilyn, 1926-1962 | Large type books | Christianity and antisemitism | History",biography,5.0,1,Not Available,1993,Open Library API,5.0,1.0,"Marilyn Monroe Donald Spoto Biographie | Biography | Motion picture actors and actresses | Monroe, marilyn, 1926-1962 | Large type books | Christianity and antisemitism | History biography"
The Emperor of All Maladies,"Siddhartha Mukherjee, Nessa Carey",medical history | social sciences | history | civilization | oncology | Cancer | nyt:paperback_nonfiction=2011-08-27 | research | New York Times bestseller | medicine,biography,4.0833335,12,Not Available,2010,Open Library API,4.0833335,12.0,"The Emperor of All Maladies Siddhartha Mukherjee, Nessa Carey medical history | social sciences | history | civilization | oncology | Cancer | nyt:paperback_nonfiction=2011-08-27 | research | New York Times bestseller | medicine biography"
Sylvia Plath,Linda Wagner-Martin,"American Poets | Biography | Biographies | Biographie | Poètes américains | Biografie | Sylvia Plath | 20th century | Poets, American | Plath, sylvia, 1932-1963",biography,5.0,1,Not Available,1987,Open Library API,5.0,1.0,"Sylvia Plath Linda Wagner-Martin American Poets | Biography | Biographies | Biographie | Poètes américains | Biografie | Sylvia Plath | 20th century | Poets, American | Plath, sylvia, 1932-1963 biography"
Messi,Guillem Balague,"Soccer, biography | Spain, biography | Argentina, biography | Soccer players | Biography",biography,5.0,6,Not Available,2013,Open Library API,5.0,6.0,"Messi Guillem Balague Soccer, biography | Spain, biography | Argentina, biography | Soccer players | Biography biography"
Capote,Gerald Clarke,"American Authors | Biography | Capote, truman, 1924-1984 | Authors, biography",biography,,,Not Available,1988,Open Library API,,,"Capote Gerald Clarke American Authors | Biography | Capote, truman, 1924-1984 | Authors, biography biography"
Edison a Biography,"Josephson, Matthew, M Josephson, Matthew Josephson","Biography | Inventors | Edison, Thomas A. (Thomas Alva), 1847-1931 | Chemists | Edison, thomas a. (thomas alva), 1847-1931",biography,,,Not Available,1959,Open Library API,,,"Edison a Biography Josephson, Matthew, M Josephson, Matthew Josephson Biography | Inventors | Edison, Thomas A. (Thomas Alva), 1847-1931 | Chemists | Edison, thomas a. (thomas alva), 1847-1931 biography"
Kissinger,"Walter Isaacson, Malcolm Hillgartner","Biography | Historians | Kissinger, Henry, 1923- | Statesmen | United States | Historiadores | Buitenlandse politiek | Biografía | Estadistas | Statesmen, united states",biography,4.0,1,Not Available,1992,Open Library API,4.0,1.0,"Kissinger Walter Isaacson, Malcolm Hillgartner Biography | Historians | Kissinger, Henry, 1923- | Statesmen | United States | Historiadores | Buitenlandse politiek | Biografía | Estadistas | Statesmen, united states biography"
Cristiano Ronaldo,Guillem Balague,"Soccer, biography | Portugal, biography | Soccer players | Biography",biography,4.75,4,Not Available,2016,Open Library API,4.75,4.0,"Cristiano Ronaldo Guillem Balague Soccer, biography | Portugal, biography | Soccer players | Biography biography"
The Library of American Biography,Jared Sparks,Biography,biography,,,Not Available,1846,Open Library API,,,The Library of American Biography Jared Sparks Biography biography
Elvis,Jerry Hopkins,"Biography | Singers | Rock musicians | Presley, elvis, 1935-1977 | Chanteurs | Biographies | Singers, united states | Singers, biography",biography,5.0,1,Not Available,1971,Open Library API,5.0,1.0,"Elvis Jerry Hopkins Biography | Singers | Rock musicians | Presley, elvis, 1935-1977 | Chanteurs | Biographies | Singers, united states | Singers, biography biography"
Oliver Goldsmith,Washington Irving,"American Poets | Biography | English Authors | Irish authors | Authors, english | Goldsmith, oliver, 1730?-1774 | Poets | Readers | Textbooks | Portraits",biography,,,Not Available,1840,Open Library API,,,"Oliver Goldsmith Washington Irving American Poets | Biography | English Authors | Irish authors | Authors, english | Goldsmith, oliver, 1730?-1774 | Poets | Readers | Textbooks | Portraits biography"
Heavier than Heaven,Charles R. Cross,"Rock musicians | Biography | Nirvana (Musical group) | Cobain, kurt, 1967-1994 | Rock musicians, biography",biography,3.5,2,Not Available,2001,Open Library API,3.5,2.0,"Heavier than Heaven Charles R. Cross Rock musicians | Biography | Nirvana (Musical group) | Cobain, kurt, 1967-1994 | Rock musicians, biography biography"
Lenin,Robert Service,"Politics and government | Revolutionaries | Heads of state | Biography | Revolutionaries, soviet union | Soviet union, biography | Revolutions | Soviet union, history, revolution, 1917-1921 | Communism | Biography, 20th century",biography,,,Not Available,1985,Open Library API,,,"Lenin Robert Service Politics and government | Revolutionaries | Heads of state | Biography | Revolutionaries, soviet union | Soviet union, biography | Revolutions | Soviet union, history, revolution, 1917-1921 | Communism | Biography, 20th century biography"
C.S. Lewis; a biography,"Roger Lancelyn Green, Walter Hooper","Anglicans | Authors, English | Biography | Christian biography | Church of England | English Authors | Lewis, C. S. (Clive Staples), 1898-1963 -- | Christian biography -- England | Church of England -- Biography | Authors, English -- 20th century -- Biography",biography,5.0,1,Not Available,1963,Open Library API,5.0,1.0,"C.S. Lewis; a biography Roger Lancelyn Green, Walter Hooper Anglicans | Authors, English | Biography | Christian biography | Church of England | English Authors | Lewis, C. S. (Clive Staples), 1898-1963 -- | Christian biography -- England | Church of England -- Biography | Authors, English -- 20th century -- Biography biography"
Indira Gandhi,Pupul Jayakar,"Prime ministers | Biography | Politics and government | Gandhi, Indira, 1917-1984 | India",biography,4.0,1,Not Available,1992,Open Library API,4.0,1.0,"Indira Gandhi Pupul Jayakar Prime ministers | Biography | Politics and government | Gandhi, Indira, 1917-1984 | India biography"
Sterling Biographies: Benjamin Franklin,Maria Mihalik Higgins,"Juvenile literature | Statesmen | Biography | Inventors | Scientists | Printers | Franklin, benjamin, 1706-1790 | Franklin, benjamin, 1706-1790, juvenile literature | Statesmen, juvenile literature | Inventors, juvenile literature",biography,4.5,8,Not Available,2007,Open Library API,4.5,8.0,"Sterling Biographies: Benjamin Franklin Maria Mihalik Higgins Juvenile literature | Statesmen | Biography | Inventors | Scientists | Printers | Franklin, benjamin, 1706-1790 | Franklin, benjamin, 1706-1790, juvenile literature | Statesmen, juvenile literature | Inventors, juvenile literature biography"
Mandela,Anthony Terrell Seward Sampson,20th century | Apartheid | Biography | History | Politics and government | Presidents | South Africa | Biographies | Biografie | Présidents,biography,4.0,1,Not Available,1999,Open Library API,4.0,1.0,Mandela Anthony Terrell Seward Sampson 20th century | Apartheid | Biography | History | Politics and government | Presidents | South Africa | Biographies | Biografie | Présidents biography
London - The Biography (London a Biography),"Peter Ackroyd, Wright, Thomas","Social life and customs | Description and travel | Dagelijks leven | History | London (england), biography | London (england), description and travel | London (england), history | Convict labor | New York Times reviewed | Manners and customs",biography,1.0,1,Not Available,2000,Open Library API,1.0,1.0,"London - The Biography (London a Biography) Peter Ackroyd, Wright, Thomas Social life and customs | Description and travel | Dagelijks leven | History | London (england), biography | London (england), description and travel | London (england), history | Convict labor | New York Times reviewed | Manners and customs biography"
Miles Davis,Ian Carr,"Jazz musicians | United States | Biography | Davis, miles, 1926-1991 | Jazz musicians, biography | African American jazz musicians | Biografie",biography,,,Not Available,1981,Open Library API,,,"Miles Davis Ian Carr Jazz musicians | United States | Biography | Davis, miles, 1926-1991 | Jazz musicians, biography | African American jazz musicians | Biografie biography"
